id,symbol,name
fly,fly,FLY
flycat,flycat,Flycat
fncy,fncy,FNCY
foc,foc,FOC
fofar,fofar,Fofar
fofar0x71,fofar,Fofar0x71
fognet,fog,FOGnet
fold,fld,Fold
fomeow,fomeow,fomeow
fomofi,fomo,FomoFi
fomofox,fomo,FOMOFox
fomoon,fomoon,FoMoon
fomosfi,fomos,FomosFi
fonsmartchain,fon,FONSmartChain
fonzy,fonzy,Fonzy
food,food,Food
fooday,food,Fooday
fool,fool,fool
foom,foom,Foom
footcoin,footcoin,footcoin
forcefi,forc,Forcefi
forest,forest,FOREST
forkast,cgx,Forkast
forky,forky,FORKY
form,form,Form
forrealog,frog,ForRealOG
forta,fort,Forta
forward,forward,Forward
fottie,fottie,Fottie
four,form,Four
fourcoin,four,FourCoin
fourxbt,fxbt,Fourxbt
foxcon,fox,Foxcon
foxe,foxe,FOXE
foxgirl,foxgirl,FoxGirl
foxy,foxy,Foxy
fractal,fcl,Fractal
fractrade,frac,FRACTRADE
frame,frame,Frame
frank,frank,Frank
frankencoin,zchf,Frankencoin
frankenfrog,ffrog,FrankenFrog
franklin,fly,Franklin
fraxtal,fxtl,Fraxtal
freakoff,freak,Freakoff
freebnk,frbk,FreeBnk
freecz,freecz,FreeCZ
freedogs,freedog,FreeDogs
freedomcoin,freed,Freedomcoin
freela,frel,Freela
freerossdao,free,FreeRossDAO
freeway,fwt,Freeway
freg,freg,Freg
frego,frego,FREGO
freicoin,frc,Freicoin
frenz,frenz,FRENZ
fresco,fresco,Fresco
fric,fric,FRIC
frictionless,fric,Frictionless
friend3,f3,Friend3
friendtech33,ftw,FriendTech33
frogevip,froge,Froge
frogie,frogie,Frogie
frogonsol,frog,Frogonsol
frogswap,frog,FrogSwap
frokai,frokai,FrokAI
fronk,fronk,Fronk
froodoo,fodo,FrooDoo
frop,frop,FROP
froppy,froppy,Froppy
froq,froq,FROQ
frostic,frost,Frostic
froth,froth,Froth
frox,frox,Frox
frudo,frudo,FRUDO
frug,frug,FRUG
fruits,frts,Fruits
fry,fry,Fry
fsn,fsn,FUSION
fsociety,fsc,FSOCIETY
fu,fu,FU
fuack,fuack,FUACK
fubb,fubb,FUBB
fuego,fuego,FUEGO
fufu,fufu,Fufu
fug,fug,FUG
fujicoin,fjc,Fujicoin
fujimoto,fuji,Fujimoto
fuku,fuku,FUKU
fukurou,fukurou,エッホエッホ
fulcrom,ful,Fulcrom
functionland,fula,Functionland
